Compound,p_val,padj,NCvBroc,NCvBroc_adj,NCvBrus,NCvBrus_adj,NCvCombo,NCvCombo_adj,BrocvBrus,BrocvBrus_adj,BrocvCombo,BrocvCombo_adj,BrusvCombo,BrusvCombo_adj,canopus_id,molecularFormula,adduct,most specific class,level 5,subclass,class,superclass,all classifications,Polarity
25.17_600.3230m/z,4.287958280303496e-5,1.5202761175621486e-4,0.046267655779403394,0.11365750224070888,0.07245072458685797,0.12404442239871138,1.7329298687807082e-5,7.531579814316154e-5,0.9981545292779094,1,0.16012587652498045,0.43081485826959026,0.1096113529918723,0.30965207220204083,6948_PosClean_11668,C25H45N9O6S,[M + H]+,Dipeptides,Peptides,"Amino acids, peptides, and analogues",Carboxylic acids and derivatives,Organic acids and derivatives,"Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Alcohols and polyols; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Peptides; Azoles; Monoalkylamines; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Monocarboxylic acids and derivatives; N-acyl-alpha amino acids and derivatives; Carboxylic acids; Secondary carboxylic acid amides; Carbonyl compounds; Alpha amino acid amides; N-acyl-alpha amino acids; Amines; Primary amines; Fatty Acyls; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Dipeptides; Chemical entities",Positive
24.53_847.5426m/z,9.739423736702181e-6,5.830862380303128e-5,0.10961135299187252,0.1696723683298854,0.22574087973709211,0.32703486423450523,7.362089364137958e-6,3.466317075614955e-5,0.9857232855461066,1,0.046267655779403394,0.23764750468511744,0.017056143645342026,0.175213111993059,NA,NA,NA,NA,NA,NA,NA,NA,NA,Positive
24.23_947.4761m/z,1.6730549818787021e-4,4.412823705271588e-4,0.058145131734891664,0.1288313703145639,0.005514815227186776,0.0389483825420066,1.2931057550225056e-4,4.05891528659842e-4,0.8638216725696982,1,0.30694968254062327,0.6544398891903855,0.7762928334284127,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Positive
24.73_584.2951m/z,2.1280569198404843e-5,8.299421987377889e-5,0.10961135299187286,0.1696723683298854,0.07245072458685797,0.12404442239871138,1.7329298687807082e-5,7.531579814316154e-5,0.9981545292779094,1,0.07245072458685797,0.27289772927716505,0.10961135299187286,0.30965207220204083,NA,NA,NA,NA,NA,NA,NA,NA,NA,Positive
24.40_456.3646m/z,6.099720579381627e-4,0.0010813141027085612,0.7762928334284123,0.8198232726860802,0.4543683666870272,0.564215664127847,0.002988935142543392,0.005277338611053176,0.9544113425184636,1,0.05814513173489144,0.27289772927716505,0.1909779520604794,0.46914149093117763,NA,NA,NA,NA,NA,NA,NA,NA,NA,Positive
24.55_859.0324m/z,0.0019315760568735757,0.002860688590559599,0.00985637619743196,0.053036690967133884,0.02856340757190934,0.07172589012501678,0.00985637619743196,0.013922131378872644,0.9857232855461066,1,1,1,0.9857232855461066,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Positive
20.32_441.7163m/z,0.0028512084304522464,0.003924604545446033,0.046267655779403616,0.11365750224070888,0.005514815227186776,0.0389483825420066,0.00985637619743196,0.013922131378872644,0.8998835057418314,1,0.9544113425184636,1,0.9981545292779094,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Positive
24.47_761.4826m/z,2.5417793337523524e-5,9.549864657065551e-5,0.5635118363288694,0.6432003788400226,0.7263486172630789,0.8126474628784942,1.2931057550225056e-4,4.05891528659842e-4,0.9938581719122568,1,0.017056143645342026,0.23764750468511744,0.007402260869041721,0.13922131378872488,NA,NA,NA,NA,NA,NA,NA,NA,NA,Positive
24.53_850.5497m/z,9.890966183125881e-5,2.9672898549377644e-4,0.00985637619743196,0.053036690967133884,0.3069496825406226,0.3986817715757521,1.8898808100742404e-4,5.338913288459729e-4,0.5083531516135691,1,0.7263486172630789,1,0.07245072458685797,0.24808884479742277,NA,NA,NA,NA,NA,NA,NA,NA,NA,Positive
24.73_540.3317m/z,4.589540422715655e-5,1.5793418513462696e-4,0.10961135299187286,0.1696723683298854,0.046267655779403394,0.09172359829951944,3.9596332453650795e-5,1.49146185575418e-4,0.9857232855461067,1,0.1096113529918723,0.3538880825166181,0.2257408797370919,0.5314316543810704,NA,NA,NA,NA,NA,NA,NA,NA,NA,Positive
