compound,neutral_mass,mz,charge,rt,neg_12,neg_16,neg_20,neg_24,neg_28,neg_32,neg_36,neg_40,neg_44,neg_48,neg_13,neg_17,neg_21,neg_25,neg_29,neg_33,neg_37,neg_41,neg_45,neg_49,neg_14,neg_18,neg_22,neg_26,neg_30,neg_34,neg_38,neg_42,neg_46,neg_50,neg_15,neg_19,neg_23,neg_27,neg_31,neg_35,neg_39,neg_43,neg_47,neg_51
24.89_331.0357,NA,331.0357063,1,24.89111667,114.5959353,90.98111555,71.18718505,89.09296741,76.75511303,81.232187390000007,107.862439,88.98115406,56.34964819,57.51526114,25.93199129,41.9247359,45.75723334,44.76299765,35.1669789,45.52268517,47.31701039,32.55960343,32.78408612,53.07677513,25.53014663,25.16444474,85.9952679,39.31584166,34.57045087,33.98075587,38.08466734,36.53252203,39.3645018,63.17121424,9.898371705,23.2345918,31.25794256,22.55893617,33.53628538,40.61041809,12.45970094,19.14659281,33.02701577,39.99550994
24.80_572.0682,NA,572.0681775,1,24.79578333,7.527530173,16.81271019,20.86975716,18.6609469,12.20991017,13.05655881,13.84524415,12.90529501,8.283996181,20.86645218,5.765706606,0.72108590400000006,4.97490956,0.760166447,12.85628701,0.88443151,4.977133151,5.617451594,5.359017627,7.635162873,1.499478048,2.175846873,14.81178632,6.059877303,6.470326501,5.14198681,0.878435747,6.165057072,1.724405187,4.811184833,4.154996424,3.709230713,4.621604251,1.473067757,5.325206637,8.560935148,4.008111986,1.411343825,7.690461586,5.202693172
11.76_318.1495,NA,318.1494848,1,11.76096667,0,0,0,0,0,0,0,9.155900355,57.18959012,0,1.894224019,0,0,0,75.54074219,0,0,2.171351202,64.59971826,0,1.074078864,0,0,0,82.006992640000007,0,0,0,40.4310729,0,1.436467488,15.11377795,8.19878509,0,56.24380322,19.51282902,57.65071961,8.006923859,37.13528836,5.37573637
9.25_255.0962,NA,255.0961816,1,9.250266667,819.3795519,2.202808829,1.689562278,22.80199216,42.57399847,11.76256288,8.833112804,20.21444168,794.5858564,0.579520343,790.959078,42.17082839,46.84711766,1486.235379,680.5214012,62.40120956,177.3836118,86.36387469,693.4633973,0,809.4519981,50.63607831,12.76758216,1290.995168,680.6990148,67.92092261,150.5846573,86.8162648,681.8821247,0,860.6058635,156.4639166,121.7639798,1385.452927,745.7094052,529.3602656,596.3735752,106.4493967,759.8528113,163.0857443
18.51_864.2705,864.2704886,885.241351,1,18.50795,141.8688694,1.667256164,0.173285589,2.93537609,2.724495836,1.501213014,0,3.186373521,13.48730581,0,131.9115632,85.66540644,9.78462062,57.96289182,40.8703483,0.724706073,26.73091593,1.745719301,25.63776195,0,126.3514398,99.98801044,12.09790448,50.30142552,58.6218562,3.572572654,12.39982003,4.312001364,20.16677053,0,139.4494141,154.2723118,85.57062902,42.9950319,52.81792933,11.43983674,22.47349446,0.677944868,17.16370897,0.331166324
4.08_352.0799,NA,352.0799324,1,4.079033333,8.673200493,0.450843377,3.511719904,0,1.282602715,1.109752824,0.897443214,11.40355334,48.71051863,0,15.1450194,16.28935212,10.71565661,61.29464305,23.59704771,4.837663184,2.334315249,9.766269518,55.30286851,0,16.63278054,14.69722463,11.14593783,55.5770608,17.38751836,4.727620851,4.916153958,8.090424683,54.45053237,0,9.164073875,19.8069939,12.90056835,40.95221189,29.09145157,21.29918079,16.21632446,13.95702612,74.04298075,2.005504668
18.30_643.2983,643.2982628,642.2909863,1,18.3023,25.76175274,20.46177349,15.03232643,1.350094237,29.79512306,10.93978628,42.968313,152.53215169999999,20.48453223,7.920990903,40.10266045,282.7170311,27.82256226,13.81341689,79.76814176,38.18886367,99.31096368,208.1884539,34.46770065,130.7620383,45.73581379,228.0449071,39.40846865,5.858857032,95.72939344,42.41526372,73.39201246,129.0647711,31.29499193,115.3701851,86.03010608,241.1193503,53.69325336,8.511743815,89.98472634,44.53781271,124.6807711,179.4745795,5.6180991240000004,196.8828906
6.53_382.2082,382.2081699,403.1828377,1,6.5324,318.0656345,0,64.71074152,0,86.37552869,0,22.56696425,146.7696059,466.4813752,0,288.5339392,173.1916796,403.5909094,22.64993564,405.2735873,320.6829526,299.5347004,503.7727541,451.1728553,183.926858,302.581236,196.5362267,285.9132404,32.46438663,337.2720874,353.2046529,229.3594638,326.9187929,528.1187326,171.9844824,371.6467827,282.3710928,325.6256596,23.55182106,325.9136044,412.9424068,302.1357815,492.8533969,561.9022662,385.3602607
7.35_328.1245,328.1245464,327.11727,1,7.3492,585.3457496,0,9.71079304,58.69106496,15.23011993,0.643033106,4.747171642,46.96818753,455.4095156,19.80434938,239.3745667,135.2519561,223.8468705,294.9845366,313.9272324,254.3519314,53.50645274,233.0578834,570.3498465,11.08027142,220.0284115,119.9822119,119.6060649,317.3268691,344.6054234,282.0799322,58.29607357,251.903479,607.1944006,29.4194595,572.1326507,486.2950871,548.1025426,258.9473362,340.4775544,446.4712191,89.4456987,315.5584478,612.6392821,104.7913431
16.21_463.1833,NA,463.1832944,1,16.21423333,92.80660889,0,0.526249515,5.774382623,0,10.06095171,31.39298468,7.872010619,158.6729629,0.307271625,50.65478984,134.294096,10.42493338,70.96889255,26.926841370000002,65.48562858,336.8278162,90.22172741,49.54552841,25.50431154,51.57761848,137.5222036,21.92719238,88.24280006,18.73968597,54.2409011,284.2321629,88.72864657,94.56715692,30.33640072,45.70814057,171.2136555,88.26487029,93.92241485,31.1774309,66.47634525,249.1275796,113.9381448,30.6090754,79.99092008
