compound,neutral_mass,mz,charge,rt,pos_12,pos_16,pos_20,pos_24,pos_28,pos_32,pos_36,pos_40,pos_44,pos_48,pos_13,pos_17,pos_21,pos_25,pos_29,pos_33,pos_37,pos_41,pos_45,pos_49,pos_14,pos_18,pos_22,pos_26,pos_30,pos_34,pos_38,pos_42,pos_46,pos_50,pos_15,pos_19,pos_23,pos_27,pos_31,pos_35,pos_39,pos_43,pos_47,pos_51
23.39_593.3323,NA,593.3323089,2,23.39161667,0,2.823998729,0,13.40982196,0,0.00278654,5.016782353,0,0,0.10831075,0,7.04310387,0,13.28326306,7.172952832,17.38408215,4.384701932,9.021641942,1.689346701,14.01011681,0,3.190922719,0,5.47863465,3.939938802,13.34813173,6.663521804,15.75546666,2.086388426,10.41448176,3.314069048,26.55405157,12.48096565,3.101968368,12.55701483,15.47635408,15.9687652,13.39232631,0,6.713155962
13.45_182.0780,NA,182.0780387,1,13.45163333,389.563847,1038.607195,697.41733,1495.7857980000001,600.1840282,888.5004598,579.7361874,455.0752703,444.0712397,801.5919492,390.0060404,396.2218808,484.5854527,334.0771247,338.6242986,399.7124529,359.2467094,433.056955,444.7978624,983.2614344,371.5602043,402.7559355,746.7844276,534.1379588,355.0733869,320.9527954,422.2624755,304.3883349,395.3824837,935.9320812,368.3733856,415.3034479,390.7623141,470.5878624,307.8804849,423.4110198,434.0305582,400.7518234,372.096682,413.056103
17.06_428.2147,NA,428.2147192,3,17.05828333,184.7230821,372.474692,73.98818091,62.35681474,1215.041133,787.309131,654.5172852,1775.95565,220.2620717,2831.771957,236.7282672,722.1192755,88.24571673,73.34329175,2367.726273,1839.823565,901.6944691,2149.475301,271.4829045,2958.578314,251.4877654,721.7672218,64.9168817,57.18650901,2777.73589,1721.477686,952.1692,1532.141772,299.7794369,2960.507807,249.1845026,766.964689,94.61403623,45.77948599,2787.792088,1852.996273,1087.409583,2066.980451,368.3241466,3335.529481
16.38_608.2967,NA,608.296745,1,16.37615,119.6364842,77.97887426,311.1002281,81.70107146,321.8382135,104.5604532,220.8840064,277.9893935,227.0514002,119.1946586,250.6238177,435.5558509,524.6813624,342.1298188,327.7896156,363.9829112,293.7808932,363.5179954,231.5886471,295.3891148,273.8798524,437.1834074,418.6516482,329.3672072,297.3446622,338.9517564,363.1896394,313.1576118,221.0168277,287.0700988,256.9943848,439.9992168,435.7217998,355.8753119,284.9243927,389.2088856,351.055818,348.0853403,257.2148249,288.2209936
22.59_526.2674,NA,526.2673694,2,22.59465,8.215047675,33.67521606,316.1413977,0.509494146,101.5191665,2.515411193,3.061268003,63.229116,1.720297803,62.43345307,5.365809078,135.1891929,302.0241964,23.76137782,115.4969844,141.6834191,19.14113927,118.7776494,16.20790215,144.0847566,1.63478703,148.2766052,279.6880574,60.90681219,144.8691672,194.0359294,68.265596,132.5512092,4.43061416,181.4218354,26.9589027,166.4396906,383.7519216,107.310753,170.5899666,224.8640434,102.5128489,176.2430907,28.11081969,247.1949154
25.38_378.3325,NA,378.3325044,1,25.37683333,8597.054165,15533.54499,14402.36236,17992.85063,16468.76209,15156.80448,12993.35756,13651.06187,13522.14915,13283.98172,9393.298972,8149.480986,14619.61476,8930.254485,11911.25728,11530.53094,13143.13893,12859.62664,12033.5094,13698.53777,8333.423553,12071.87666,12840.08689,11950.31751,8895.553003,8061.134614,9370.509925,8406.725223,13759.03022,8843.869306,10645.45349,10411.6634,9837.03582,10146.18974,8399.031394,12175.7915,9611.506001,12479.37943,11575.98568,11758.15566
20.58_244.0936,NA,244.0936437,1,20.58491667,54.51636693,685.5317018,147.8205234,340.1728393,77.41005419,304.0672853,130.2235607,59.14525014,41.79927231,179.0334415,34.42258972,59.45949557,52.62056868,42.88893387,40.23497628,63.42859444,69.89704162,56.53761091,47.42044027,102.0470988,40.99946581,56.00815333,98.35396768,60.06820521,46.08526714,55.33076148,60.68106302,52.85350258,47.15131445,89.97721818,35.92161052,52.31965746,55.66437342,61.15669633,43.97066322,68.19271324,80.3781563,53.34470416,52.85217814,49.3237845
23.06_475.2812,NA,475.2811583,1,23.0633,21.2232363,17.83794017,27.23627089,148.1628322,12.21421831,17.66440252,6.715314853,11.35581735,39.97636013,72.19436413,43.00269548,14.19112433,2048.933021,86.05645408,139.9863065,126.3696195,15.94562953,18.84248016,1371.187603,1652.97285,32.55099345,26.42521468,1938.634498,115.9525986,101.262384,96.1947467,14.56644696,24.23950035,1575.747897,1787.741632,36.50424695,39.46541676,1314.369433,151.9061083,70.57314746,80.7979188,34.80306378,27.5036071,2093.88421,1890.297637
10.70_349.1795,NA,349.1794816,1,10.69826667,270.8572306,10.51753943,141.31298520000001,47.67083642,170.4791994,77.91755919,70.58011888,180.1856988,165.5995538,127.918818,233.1679729,141.8903693,200.3352114,231.2444717,448.0560014,227.5975536,195.9166196,297.9162951,241.7390455,190.6017846,212.2936198,76.28403655,233.7458536,193.0196863,393.9763057,245.4778298,219.7835693,366.6090315,183.2217549,125.3394644,194.6641992,214.6699911,312.5184033,308.2201104,319.5640534,311.8741613,234.2478675,322.3906314,162.4547487,324.6159407
25.89_839.4536,NA,839.4536085,1,25.88945,36.61117752,68.18380288,67.04965399,79.29346896,42.00504032,54.28491183,70.48618887,14.43934658,20.99162856,46.8867578,69.00732722,13.87492035,18.71935731,29.39843776,20.61456251,56.09922986,42.78100961,8.234489438,49.74948351,38.00102562,18.55298125,29.50782837,10.97402451,26.44712744,23.35176802,15.79599208,49.47648514,6.95750828,29.10607584,17.17479394,34.69506814,42.8602119,13.17558145,33.48848394,7.239866232,29.2399727,34.3845566,16.37055751,13.45673799,15.87668076
